anio,county_code,loan_purpose,lien_status,occupancy_type,n_focal,k_focal,n_ref,k_ref,celda
2018,01055,1,1,1,83.0,24.0,988.0,180.0,01055|1|1|1
2018,01073,1,1,3,32.0,7.0,346.0,34.0,01073|1|1|3
2018,01113,32,1,1,78.0,58.0,110.0,59.0,01113|32|1|1
2018,06013,31,1,1,387.0,131.0,3179.0,726.0,06013|31|1|1
2018,12097,1,1,1,701.0,156.0,5711.0,1068.0,12097|1|1|1
2018,12111,2,1,1,64.0,40.0,459.0,222.0,12111|2|1|1
2018,12071,4,1,1,38.0,26.0,1057.0,510.0,12071|4|1|1
2018,12083,4,2,1,57.0,47.0,658.0,401.0,12083|4|2|1
2018,24003,4,2,1,167.0,126.0,1108.0,539.0,24003|4|2|1
2018,29189,32,1,1,530.0,290.0,2905.0,648.0,29189|32|1|1
2018,36001,1,1,1,173.0,19.0,2303.0,174.0,36001|1|1|1
2018,36047,31,2,1,114.0,78.0,367.0,176.0,36047|31|2|1
2018,39113,32,1,1,154.0,85.0,1184.0,347.0,39113|32|1|1
2018,39113,31,1,1,214.0,100.0,1447.0,426.0,39113|31|1|1
2018,48367,1,1,1,48.0,9.0,3039.0,356.0,48367|1|1|1
2018,48001,1,1,1,68.0,32.0,418.0,142.0,48001|1|1|1
2018,48245,32,1,1,93.0,46.0,385.0,101.0,48245|32|1|1
2018,48029,2,1,1,67.0,43.0,1120.0,554.0,48029|2|1|1
2018,49049,1,1,1,49.0,9.0,10313.0,677.0,49049|1|1|1
2018,55101,1,1,1,109.0,17.0,2219.0,169.0,55101|1|1|1
2019,04019,32,1,1,135.0,51.0,5085.0,1210.0,04019|32|1|1
2018,12031,2,1,1,129.0,94.0,540.0,227.0,12031|2|1|1
2018,48121,32,2,1,35.0,23.0,346.0,103.0,48121|32|2|1
2019,06001,1,1,1,452.0,65.0,4150.0,336.0,06001|1|1|1
2019,06071,32,1,1,1119.0,398.0,10920.0,2257.0,06071|32|1|1
2019,12083,4,2,1,50.0,35.0,610.0,353.0,12083|4|2|1
2019,21047,1,1,1,77.0,15.0,542.0,71.0,21047|1|1|1
2019,29095,1,1,1,980.0,157.0,7546.0,465.0,29095|1|1|1
2019,34035,2,2,1,50.0,28.0,639.0,279.0,34035|2|2|1
2019,34039,1,1,1,975.0,182.0,3572.0,352.0,34039|1|1|1
2019,34023,1,1,1,625.0,123.0,4262.0,441.0,34023|1|1|1
2019,34013,1,1,1,1724.0,355.0,3509.0,356.0,34013|1|1|1
2019,36029,4,1,1,58.0,40.0,757.0,306.0,36029|4|1|1
2019,39035,4,1,1,310.0,220.0,1229.0,450.0,39035|4|1|1
2019,42069,1,1,1,52.0,12.0,1576.0,153.0,42069|1|1|1
2019,42089,31,1,1,100.0,36.0,627.0,204.0,42089|31|1|1
2019,48209,1,1,1,146.0,37.0,3829.0,476.0,48209|1|1|1
2019,51161,1,1,1,70.0,8.0,1277.0,67.0,51161|1|1|1
2019,06001,32,1,3,164.0,63.0,421.0,87.0,06001|32|1|3
2019,06037,1,2,1,271.0,53.0,1938.0,340.0,06037|1|2|1
2019,13217,32,1,1,328.0,165.0,354.0,92.0,13217|32|1|1
2019,25025,2,2,1,415.0,279.0,939.0,418.0,25025|2|2|1
2019,36027,1,1,1,237.0,40.0,2331.0,264.0,36027|1|1|1
2019,36059,1,1,1,1303.0,217.0,7148.0,600.0,36059|1|1|1
2019,36081,31,2,1,98.0,68.0,333.0,168.0,36081|31|2|1
2019,48113,31,2,1,58.0,17.0,316.0,119.0,48113|31|2|1
2020,12086,1,1,3,101.0,46.0,1679.0,417.0,12086|1|1|3
2020,12073,31,1,1,412.0,101.0,2524.0,338.0,12073|31|1|1
2020,12063,1,1,1,126.0,87.0,394.0,131.0,12063|1|1|1
2020,12115,32,1,1,43.0,12.0,2895.0,565.0,12115|32|1|1
2020,22015,1,1,1,451.0,127.0,1797.0,223.0,22015|1|1|1
2020,26125,1,1,1,1458.0,296.0,15003.0,1385.0,26125|1|1|1
2020,26161,1,1,1,420.0,204.0,3426.0,415.0,26161|1|1|1
2020,29095,1,2,1,60.0,9.0,238.0,38.0,29095|1|2|1
2020,37159,32,1,1,43.0,16.0,636.0,128.0,37159|32|1|1
2020,37119,2,2,1,450.0,282.0,1832.0,616.0,37119|2|2|1
2020,37179,2,2,1,36.0,21.0,529.0,199.0,37179|2|2|1
2020,47187,32,1,1,73.0,19.0,2919.0,301.0,47187|32|1|1
2020,04019,32,1,1,134.0,35.0,7034.0,1006.0,04019|32|1|1
2020,08005,1,1,1,951.0,128.0,9018.0,562.0,08005|1|1|1
2020,12047,1,1,1,31.0,24.0,114.0,61.0,12047|1|1|1
2020,24027,31,1,1,1350.0,270.0,6047.0,489.0,24027|31|1|1
2020,24033,1,2,1,196.0,44.0,56.0,12.0,24033|1|2|1
2020,24005,2,1,1,62.0,39.0,285.0,132.0,24005|2|1|1
2020,26081,4,2,1,35.0,19.0,956.0,272.0,26081|4|2|1
2020,29095,1,1,1,1138.0,181.0,8500.0,547.0,29095|1|1|1
2020,29047,32,1,1,48.0,7.0,1678.0,192.0,29047|32|1|1
2020,37133,32,1,1,61.0,19.0,554.0,153.0,37133|32|1|1
2020,34035,32,1,1,84.0,17.0,1181.0,165.0,34035|32|1|1
2020,36001,32,1,1,42.0,12.0,1304.0,149.0,36001|32|1|1
2020,51650,32,1,1,185.0,71.0,225.0,43.0,51650|32|1|1
2020,51650,2,2,1,48.0,27.0,60.0,22.0,51650|2|2|1
2021,08001,32,1,1,180.0,45.0,6945.0,925.0,08001|32|1|1
2021,13077,1,1,1,510.0,85.0,2321.0,146.0,13077|1|1|1
2021,13121,31,2,1,56.0,30.0,306.0,83.0,13121|31|2|1
2021,13223,4,2,1,60.0,44.0,209.0,104.0,13223|4|2|1
2021,19153,1,1,1,367.0,49.0,8403.0,523.0,19153|1|1|1
2021,19163,1,1,1,120.0,14.0,2640.0,152.0,19163|1|1|1
2021,17031,4,1,1,320.0,219.0,1494.0,634.0,17031|4|1|1
2021,26163,2,2,1,335.0,195.0,1602.0,486.0,26163|2|2|1
2021,26045,1,1,1,125.0,51.0,1588.0,243.0,26045|1|1|1
2021,26099,4,1,1,36.0,22.0,572.0,183.0,26099|4|1|1
2021,26099,2,1,1,40.0,25.0,607.0,192.0,26099|2|1|1
2021,37167,1,1,1,165.0,43.0,967.0,102.0,37167|1|1|1
2021,37133,1,1,1,547.0,81.0,4678.0,336.0,37133|1|1|1
2021,37147,31,1,1,533.0,124.0,1731.0,173.0,37147|31|1|1
2020,53063,1,1,1,154.0,23.0,7448.0,624.0,53063|1|1|1
2021,12009,4,2,1,31.0,23.0,546.0,287.0,12009|4|2|1
2021,12057,1,2,1,74.0,19.0,352.0,75.0,12057|1|2|1
2021,12031,32,1,3,117.0,48.0,476.0,85.0,12031|32|1|3
2021,17163,4,1,1,44.0,31.0,101.0,44.0,17163|4|1|1
2021,25005,31,1,1,527.0,111.0,8756.0,1027.0,25005|31|1|1
2021,25005,1,1,1,1070.0,150.0,4909.0,376.0,25005|1|1|1
2021,34013,2,1,1,82.0,57.0,171.0,66.0,34013|2|1|1
2021,39061,32,1,1,809.0,261.0,5139.0,690.0,39061|32|1|1
2021,42069,1,1,1,83.0,14.0,1878.0,204.0,42069|1|1|1
2021,48121,1,1,1,1808.0,292.0,12564.0,927.0,48121|1|1|1
2021,55079,32,1,3,67.0,24.0,376.0,65.0,55079|32|1|3
2022,12081,32,1,1,184.0,63.0,2368.0,559.0,12081|32|1|1
2022,12086,1,1,3,167.0,48.0,3431.0,643.0,12086|1|1|3
2022,13299,1,1,1,71.0,21.0,284.0,81.0,13299|1|1|1
2022,13245,1,1,3,71.0,11.0,139.0,18.0,13245|1|1|3
2021,36067,31,1,1,139.0,47.0,3090.0,424.0,36067|31|1|1
2021,42091,4,2,1,88.0,54.0,1337.0,425.0,42091|4|2|1
2021,48029,32,1,1,494.0,186.0,6933.0,1705.0,48029|32|1|1
2022,06085,2,2,1,47.0,17.0,1797.0,494.0,06085|2|2|1
2022,12031,4,1,1,102.0,79.0,373.0,164.0,12031|4|1|1
2022,13255,31,1,1,33.0,20.0,122.0,29.0,13255|31|1|1
2022,24025,32,1,1,241.0,91.0,1005.0,221.0,24025|32|1|1
2022,24005,31,2,1,60.0,30.0,225.0,57.0,24005|31|2|1
2022,36005,32,1,1,381.0,189.0,336.0,126.0,36005|32|1|1
2022,39151,1,1,1,227.0,49.0,3717.0,237.0,39151|1|1|1
2022,39113,31,1,1,179.0,74.0,1405.0,300.0,39113|31|1|1
2022,51760,2,1,1,56.0,38.0,47.0,20.0,51760|2|1|1
2023,01117,4,2,1,140.0,74.0,853.0,274.0,01117|4|2|1
2023,12089,1,1,1,119.0,23.0,1667.0,251.0,12089|1|1|1
2023,13063,32,1,1,1125.0,556.0,132.0,53.0,13063|32|1|1
2023,13051,2,2,1,127.0,80.0,439.0,187.0,13051|2|2|1
2023,13063,31,1,1,187.0,100.0,28.0,9.0,13063|31|1|1
2023,21111,32,1,1,312.0,129.0,977.0,268.0,21111|32|1|1
2022,36063,1,1,1,153.0,32.0,1710.0,179.0,36063|1|1|1
2022,36059,4,1,1,47.0,25.0,530.0,212.0,36059|4|1|1
2022,48481,1,1,1,40.0,23.0,350.0,99.0,48481|1|1|1
2023,01089,1,2,1,52.0,15.0,101.0,18.0,01089|1|2|1
2023,01125,1,2,1,55.0,11.0,41.0,3.0,01125|1|2|1
2023,26081,2,2,1,150.0,83.0,1813.0,474.0,26081|2|2|1
2023,27053,4,2,1,220.0,123.0,1927.0,704.0,27053|4|2|1
2023,27003,32,1,1,30.0,20.0,458.0,140.0,27003|32|1|1
2023,29077,1,1,1,37.0,6.0,2836.0,230.0,29077|1|1|1
2023,29189,31,2,1,43.0,18.0,439.0,101.0,29189|31|2|1
2023,48021,1,1,1,145.0,62.0,1572.0,457.0,48021|1|1|1
2023,48029,31,1,1,91.0,46.0,953.0,402.0,48029|31|1|1
2024,06029,1,1,1,222.0,48.0,4779.0,577.0,06029|1|1|1
2024,12011,31,2,1,158.0,90.0,753.0,379.0,12011|31|2|1
2024,12031,1,1,3,104.0,27.0,523.0,79.0,12031|1|1|3
2024,12011,32,1,3,213.0,92.0,547.0,153.0,12011|32|1|3
2024,13175,1,1,1,131.0,71.0,248.0,78.0,13175|1|1|1
2024,13097,4,2,1,260.0,147.0,132.0,61.0,13097|4|2|1
2024,17093,1,1,1,157.0,26.0,1293.0,81.0,17093|1|1|1
2023,39113,2,1,1,163.0,88.0,307.0,132.0,39113|2|1|1
2023,42003,4,2,1,185.0,104.0,2578.0,967.0,42003|4|2|1
2023,48401,1,1,1,104.0,68.0,478.0,144.0,48401|1|1|1
2023,51760,4,2,1,95.0,59.0,184.0,66.0,51760|4|2|1
2023,55025,2,2,1,55.0,10.0,1615.0,181.0,55025|2|2|1
2018,01069,1,1,1,170.0,54.0,1208.0,165.0,01069|1|1|1
2018,01117,32,1,1,101.0,50.0,834.0,198.0,01117|32|1|1
2018,01089,4,1,1,44.0,28.0,257.0,70.0,01089|4|1|1
2018,01089,1,1,3,42.0,8.0,305.0,29.0,01089|1|1|3
