Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
gross_approval,0,"(-inf, 10050.00)",12578,0.0579471113977702,11402,1176,0.0934965813324853,-0.3539655000066584,0.008468468450371972,0.0010530667586464652,0.061036648164763084,-6.511648129130646
gross_approval,1,"[10050.00, 25050.00)",31362,0.1444853957431125,29015,2347,0.07483578853389453,-0.11096040836592813,0.0018665974160906897,0.00023320505302737785,0.061036648164763084,-6.083680831658863
gross_approval,2,"[25050.00, 150550.00)",84272,0.38824288215240027,78411,5861,0.06954860451870135,-0.031991442997077346,0.00040288815331376984,5.0358871686291204e-05,0.061036648164763084,-5.944605002157251
gross_approval,3,"[150550.00, 299850.00)",26268,0.12101723025891459,24576,1692,0.06441297396071266,0.050223666641616926,0.00029870480922951527,3.7334177388155575e-05,0.061036648164763084,-5.799812240631753
gross_approval,4,"[299850.00, 354950.00)",11738,0.05407721367363862,10992,746,0.06355426818878855,0.06456198511875666,0.00021921027654305236,2.7396526584398e-05,0.061036648164763084,-5.774560377111034
gross_approval,5,"[354950.00, 515550.00)",13113,0.060411867686354,12310,803,0.061236940440783955,0.10417707609212457,0.0006268324337371263,7.831864152325549e-05,0.061036648164763084,-5.7047924421739475
gross_approval,6,"[515550.00, 1507500.00)",26557,0.12234865935685986,25066,1491,0.05614338969010054,0.1964298812671159,0.004338288183334715,0.0005414158704746038,0.061036648164763084,-5.542321839404428
gross_approval,7,"[1507500.00, inf)",11172,0.051469639730949965,10635,537,0.04806659505907626,0.3602722039858599,0.005726477606164924,0.0007119634308703927,0.061036648164763084,-5.253771687668893
gross_approval,8,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.061036648164763084,-5.888263419726857
gross_approval,9,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,0.061036648164763084,-5.888263419726857
initial_rate,0,"(-inf, 4.76)",25895,0.11929881138855616,25087,808,0.031202934929523075,0.8099075750011298,0.05572249172467615,0.006780973097195645,-0.8306715098510113,-25.300219986367665
initial_rate,1,"[4.76, 5.24)",13912,0.06409287754537915,13415,497,0.03572455434157562,0.6699033076234824,0.021677657738707497,0.002660149315085511,-0.8306715098510113,-21.944581835341033
initial_rate,2,"[5.24, 5.50)",21504,0.09906938173776836,20485,1019,0.04738653273809524,0.3752357276186338,0.011881802080977484,0.0014765727085030676,-0.8306715098510113,-14.881955875035253
initial_rate,3,"[5.50, 5.72)",20192,0.09302497005436285,19117,1075,0.05323890649762282,0.2526219008276418,0.005326406026220653,0.0006640359684117565,-0.8306715098510113,-11.943133775324636
initial_rate,4,"[5.72, 5.95)",17455,0.08041555330323413,16440,1015,0.05814952735605844,0.1591933479946701,0.001902901083136217,0.00023761178492742556,-0.8306715098510113,-9.703827630206504
initial_rate,5,"[5.95, 7.00)",66162,0.30480973002856354,60694,5468,0.08264562739941356,-0.21870350160900864,0.016032001962990865,0.0020000158651470173,-0.8306715098510113,-0.6463531015026902
initial_rate,6,"[7.00, 7.89)",24267,0.11179858103750115,22205,2062,0.08497136028351258,-0.2489943259903158,0.0077231398133877725,0.0009629063246900348,-0.8306715098510113,0.07966081095745459
initial_rate,7,"[7.89, 9.07)",13691,0.06307472588224454,12447,1244,0.09086261047403403,-0.32248779343776013,0.007546982495051,0.0009393060657885656,-0.8306715098510113,1.8411605697658953
initial_rate,8,"[9.07, inf)",13982,0.06441536902239012,12517,1465,0.10477757116292376,-0.4804029512627572,0.018321982355396425,0.0022684755203211393,-0.8306715098510113,5.626088973366512
initial_rate,9,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.8306715098510113,-5.888263419726857
initial_rate,10,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.8306715098510113,-5.888263419726857
guarantee_pct,0,"(-inf, 0.53)",112616,0.5188242882152401,105488,7128,0.06329473609433828,0.06893108306282247,0.0023929053366508334,0.0002990539630429896,-0.4308042458227846,-6.745103181482442
guarantee_pct,1,"[0.53, 0.85)",68105,0.3137611720261679,63918,4187,0.06147859922178988,0.09998109568049607,0.0030040259956371444,0.00037534692704592476,-0.4308042458227846,-7.131066729880313
guarantee_pct,2,"[0.85, inf)",36339,0.1674145397585921,33001,3338,0.09185723327554418,-0.3344693903416007,0.021660371538094938,0.00269499608946454,-0.4308042458227846,-1.73068080240974
