bin,n,predicho,observado,diferencia
0,8935,0.026829879518675298,0.020928931169557918,0.0059009483491173804
1,8929,0.04164418068582522,0.04076604322992496,0.0008781374559002561
2,8930,0.05240832811474846,0.05363941769316909,-0.0012310895784206355
3,8931,0.06188397743750064,0.07255626469600268,-0.010672287258502042
4,8932,0.07096043415150351,0.08139274518584863,-0.010432311034345124
5,8932,0.08011288152368967,0.09975369458128079,-0.01964081305759112
6,8931,0.08989660609146516,0.10995409248684358,-0.020057486395378424
7,8963,0.10095736975098957,0.13075979024880063,-0.029802420497811066
8,8900,0.11536247656241619,0.1559550561797753,-0.0405925796173591
9,8930,0.14370853325105706,0.1940649496080627,-0.050356416357005634
